PYid,id,location,department,activities
24,#N/A,Los Cedrales,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
107,#N/A,Luque,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
77,#N/A,Maciel,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
89,#N/A,Maracaná,Canindeyú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
230,#N/A,María Antonia,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
108,#N/A,Mariano Roque Alonso,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
57,#N/A,Mariscal Francisco Solano López,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
48,#N/A,Mariscal José Félix Estigarribia,Boquerón,"food and beverage products manufacture, other non-metallic mineral products manufacture"
216,#N/A,Mayor José Martínez,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
186,#N/A,Mayor Julio Dionisio Otaño,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
25,#N/A,Mbaracayú,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
160,#N/A,Mbocayaty del Guairá,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
141,#N/A,Mbocayaty del Yhaguy,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
231,#N/A,Mbuyapey,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
26,#N/A,Minga Guazú,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
27,#N/A,Minga Porá,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
246,#N/A,Nanawa,Presidente Hayes,"food and beverage products manufacture, other non-metallic mineral products manufacture"
28,#N/A,Naranjal,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
161,#N/A,Natalicio Talavera,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
187,#N/A,Natalio,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
188,#N/A,Nueva Alborada,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
247,#N/A,Nueva Asunción,Presidente Hayes,"food and beverage products manufacture, other non-metallic mineral products manufacture"
142,#N/A,Nueva Colombia,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
90,#N/A,Nueva Esperanza,Canindeyú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
260,#N/A,Nueva Germania,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
109,#N/A,Nueva Italia,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
58,#N/A,Nueva Londres,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
59,#N/A,Nueva Toledo,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
29,#N/A,Ñacunday,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
110,#N/A,Ñemby,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
162,#N/A,Ñumí,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
189,#N/A,Obligado,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
232,#N/A,Paraguarí,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
123,#N/A,Paso Barreto,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
217,#N/A,Paso de Patria,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
124,#N/A,Paso Horqueta,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
163,#N/A,Paso Yobái,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
42,#N/A,Pedro Juan Caballero,Amambay,"food and beverage products manufacture, other non-metallic mineral products manufacture"
218,#N/A,Pilar,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
190,#N/A,Pirapó,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
233,#N/A,Pirayú,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
143,#N/A,Piribebuy,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
30,#N/A,Presidente Franco,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
144,#N/A,Primero de Marzo,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
91,#N/A,Puerto Adela,Canindeyú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
15,#N/A,Puerto Casado,Alto Paraguay,"food and beverage products manufacture, other non-metallic mineral products manufacture"
248,#N/A,Puerto Pinasco,Presidente Hayes,"food and beverage products manufacture, other non-metallic mineral products manufacture"
234,#N/A,Quiindy,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
235,#N/A,Quyquyhó,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
60,#N/A,Raúl Arsenio Oviedo,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
